year,years_from_2026,exponential_capacity_gtco2_y_from_current_novel_cdr,required_exponential_cagr,linear_capacity_gtco2_y_to_100gt_by_2046,linear_new_capacity_addition_gtco2_y_per_year,linear_energy_twh_y_at_3gj_t,linear_average_power_tw_at_3gj_t
2026,0,0.00204,0.7160047735581674,0.0,5.0,0.0,0.0
2027,1,0.0035006497380586617,0.7160047735581674,5.0,5.0,4166.666666666667,0.47564687975646885
2028,2,0.006007131661063812,0.7160047735581674,10.0,5.0,8333.333333333334,0.9512937595129377
2029,3,0.010308266605777903,0.7160047735581674,15.0,5.0,12500.0,1.4269406392694064
2030,4,0.01768903470262513,0.7160047735581674,20.0,5.0,16666.666666666668,1.9025875190258754
2031,5,0.030354467989340803,0.7160047735581674,25.0,5.0,20833.333333333332,2.378234398782344
2032,6,0.052088411968527405,0.7160047735581674,30.0,5.0,25000.0,2.853881278538813
2033,7,0.0893839635850574,0.7160047735581674,35.0,5.0,29166.666666666664,3.329528158295281
2034,8,0.15338330819150792,0.7160047735581674,40.0,5.0,33333.333333333336,3.805175038051751
2035,9,0.26320648904077115,0.7160047735581674,45.0,5.0,37500.0,4.280821917808219
2036,10,0.4516635916254488,0.7160047735581674,50.0,5.0,41666.666666666664,4.756468797564688
2037,11,0.7750568792716968,0.7160047735581674,55.0,5.0,45833.333333333336,5.232115677321157
2038,12,1.3300013046093278,0.7160047735581674,60.0,5.0,50000.0,5.707762557077626
2039,13,2.282288587548197,0.7160047735581674,65.0,5.0,54166.666666666664,6.183409436834094
2040,14,3.9164181108700333,0.7160047735581674,70.0,5.0,58333.33333333333,6.659056316590562
2041,15,6.720592173502637,0.7160047735581674,75.0,5.0,62500.0,7.134703196347032
2042,16,11.532568250868184,0.7160047735581674,80.0,5.0,66666.66666666667,7.610350076103502
2043,17,19.78994216987517,0.7160047735581674,85.0,5.0,70833.33333333333,8.085996955859969
2044,18,33.95963523194587,0.7160047735581674,90.0,5.0,75000.0,8.561643835616438
2045,19,58.27489616631323,0.7160047735581674,95.0,5.0,79166.66666666667,9.037290715372908
2046,20,100.00000000000006,0.7160047735581674,100.0,5.0,83333.33333333333,9.512937595129376
