case,energy_gj_tco2,aether_energy_demand_twh_y,annual_addition_required_for_20y_buildout_twh_y,starting_global_clean_addition_twh_y,annual_growth_rate_in_clean_additions,cumulative_new_annual_clean_generation_after_20y_twh_y,coverage_of_aether_energy_demand_before_other_demand
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.0,17000.0,0.612
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.05,28106.060987455174,1.0118181955483863
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.1,48683.74956926769,1.752614984493637
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.12,61244.576077364254,2.2048047387851133
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.15,87077.0452266945,3.1347736281610024
near_thermo_capture_storage_100Gt,1.0,27777.777777777777,1388.888888888889,850.0,0.2,158684.79967901757,5.7126527884446325
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.0,17000.0,0.20400000000000001
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.05,28106.060987455174,0.3372727318494621
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.1,48683.74956926769,0.5842049948312124
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.12,61244.576077364254,0.7349349129283711
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.15,87077.0452266945,1.0449245427203342
advanced_capture_storage_100Gt,3.0,83333.33333333333,4166.666666666666,850.0,0.2,158684.79967901757,1.9042175961482108
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.0,17000.0,0.0765
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.05,28106.060987455174,0.12647727444354828
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.1,48683.74956926769,0.21907687306170462
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.12,61244.576077364254,0.27560059234813916
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.15,87077.0452266945,0.3918467035201253
current_DAC_like_100Gt,8.0,222222.22222222222,11111.111111111111,850.0,0.2,158684.79967901757,0.7140815985555791
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.0,17000.0,0.051249935066603115
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.05,28106.060987455174,0.08473140003441558
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.1,48683.74956926769,0.1467670002484551
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.12,61244.576077364254,0.18463414983215015
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.15,87077.0452266945,0.2625113478623386
advanced_capture_100pct_split_100Gt,11.941478544405184,331707.73734458844,16585.386867229423,850.0,0.2,158684.79967901757,0.4783873929180337
