scenario,target_gtco2_y,required_clean_power_twh_y,delivered_additional_aether_clean_power_twh_y,deliverability_ratio,passes_target,shortfall_twh_y,surplus_twh_y
status_quo_friction,10.0,9166.667,293.917,0.032064,False,8872.75,0.0
status_quo_friction,30.0,27500.0,293.917,0.010688,False,27206.083,0.0
status_quo_friction,50.0,45833.333,293.917,0.006413,False,45539.417,0.0
status_quo_friction,100.0,91666.667,293.917,0.003206,False,91372.75,0.0
market_unlocked_texas_style,10.0,9166.667,5858.117,0.639067,False,3308.549,0.0
market_unlocked_texas_style,30.0,27500.0,5858.117,0.213022,False,21641.883,0.0
market_unlocked_texas_style,50.0,45833.333,5858.117,0.127813,False,39975.216,0.0
market_unlocked_texas_style,100.0,91666.667,5858.117,0.063907,False,85808.549,0.0
dedicated_aether_corridors,10.0,9166.667,41184.543,4.492859,True,0.0,32017.876
dedicated_aether_corridors,30.0,27500.0,41184.543,1.49762,True,0.0,13684.543
dedicated_aether_corridors,50.0,45833.333,41184.543,0.898572,False,4648.79,0.0
dedicated_aether_corridors,100.0,91666.667,41184.543,0.449286,False,50482.124,0.0
firm_clean_backbone,10.0,9166.667,41002.268,4.472975,True,0.0,31835.601
firm_clean_backbone,30.0,27500.0,41002.268,1.490992,True,0.0,13502.268
firm_clean_backbone,50.0,45833.333,41002.268,0.894595,False,4831.066,0.0
firm_clean_backbone,100.0,91666.667,41002.268,0.447297,False,50664.399,0.0
upper_tail_ai_energy_abundance,10.0,9166.667,124304.924,13.560537,True,0.0,115138.257
upper_tail_ai_energy_abundance,30.0,27500.0,124304.924,4.520179,True,0.0,96804.924
upper_tail_ai_energy_abundance,50.0,45833.333,124304.924,2.712107,True,0.0,78471.59
upper_tail_ai_energy_abundance,100.0,91666.667,124304.924,1.356054,True,0.0,32638.257
nonadditional_grid_failure,10.0,9166.667,244.288,0.02665,False,8922.379,0.0
nonadditional_grid_failure,30.0,27500.0,244.288,0.008883,False,27255.712,0.0
nonadditional_grid_failure,50.0,45833.333,244.288,0.00533,False,45589.046,0.0
nonadditional_grid_failure,100.0,91666.667,244.288,0.002665,False,91422.379,0.0
