"scenario","display_name","technology","technology_display_name","share_of_gross_generation","capacity_factor","delivered_aether_electricity_twh_y","gross_generation_with_penalty_twh_y","technology_generation_twh_y","required_nameplate_capacity_gw","annual_capacity_addition_for_20y_buildout_gw_y","solar_total_area_proxy_km2","source_keys"
"near_thermo_balanced_firm","1 GJ/tCO2 balanced firm","utility_solar_pv","Utility solar PV","0.35","0.24","27777.8","30555.6","10694.4","5087","254.3","151476","nrel_atb_2024_electricity;nrel_solar_land_use_2013"
"near_thermo_balanced_firm","1 GJ/tCO2 balanced firm","land_based_wind","Land-based wind","0.35","0.42","27777.8","30555.6","10694.4","2907","145.3","","nrel_atb_2024_electricity;nrel_atb_land_wind_2024"
"near_thermo_balanced_firm","1 GJ/tCO2 balanced firm","nuclear_fission","Nuclear fission","0.2","0.93","27777.8","30555.6","6111.1","750","37.5","","nrel_atb_nuclear_2024;iaea_nuclear_status_2025"
"near_thermo_balanced_firm","1 GJ/tCO2 balanced firm","advanced_geothermal","Advanced geothermal","0.1","0.85","27777.8","30555.6","3055.6","410","20.5","","iea_geothermal_future_2024;nrel_atb_2024_electricity"
"portfolio_lifecycle_balanced_firm","Portfolio/lifecycle balanced firm","utility_solar_pv","Utility solar PV","0.35","0.24","64750","71225","24928.8","11857","592.9","353091","nrel_atb_2024_electricity;nrel_solar_land_use_2013"
"portfolio_lifecycle_balanced_firm","Portfolio/lifecycle balanced firm","land_based_wind","Land-based wind","0.35","0.42","64750","71225","24928.8","6776","338.8","","nrel_atb_2024_electricity;nrel_atb_land_wind_2024"
"portfolio_lifecycle_balanced_firm","Portfolio/lifecycle balanced firm","nuclear_fission","Nuclear fission","0.2","0.93","64750","71225","14245","1749","87.4","","nrel_atb_nuclear_2024;iaea_nuclear_status_2025"
"portfolio_lifecycle_balanced_firm","Portfolio/lifecycle balanced firm","advanced_geothermal","Advanced geothermal","0.1","0.85","64750","71225","7122.5","957","47.8","","iea_geothermal_future_2024;nrel_atb_2024_electricity"
"advanced_3gj_balanced_firm","3 GJ/tCO2 balanced firm","utility_solar_pv","Utility solar PV","0.35","0.24","83333.3","91666.7","32083.3","15260","763","454429","nrel_atb_2024_electricity;nrel_solar_land_use_2013"
"advanced_3gj_balanced_firm","3 GJ/tCO2 balanced firm","land_based_wind","Land-based wind","0.35","0.42","83333.3","91666.7","32083.3","8720","436","","nrel_atb_2024_electricity;nrel_atb_land_wind_2024"
"advanced_3gj_balanced_firm","3 GJ/tCO2 balanced firm","nuclear_fission","Nuclear fission","0.2","0.93","83333.3","91666.7","18333.3","2250","112.5","","nrel_atb_nuclear_2024;iaea_nuclear_status_2025"
"advanced_3gj_balanced_firm","3 GJ/tCO2 balanced firm","advanced_geothermal","Advanced geothermal","0.1","0.85","83333.3","91666.7","9166.7","1231","61.6","","iea_geothermal_future_2024;nrel_atb_2024_electricity"
"advanced_3gj_solar_heavy","3 GJ/tCO2 solar-heavy VRE","utility_solar_pv","Utility solar PV","0.65","0.24","83333.3","100000","65000","30917","1545.9","920661","nrel_atb_2024_electricity;nrel_solar_land_use_2013"
"advanced_3gj_solar_heavy","3 GJ/tCO2 solar-heavy VRE","land_based_wind","Land-based wind","0.25","0.42","83333.3","100000","25000","6795","339.7","","nrel_atb_2024_electricity;nrel_atb_land_wind_2024"
"advanced_3gj_solar_heavy","3 GJ/tCO2 solar-heavy VRE","nuclear_fission","Nuclear fission","0.05","0.93","83333.3","100000","5000","614","30.7","","nrel_atb_nuclear_2024;iaea_nuclear_status_2025"
"advanced_3gj_solar_heavy","3 GJ/tCO2 solar-heavy VRE","advanced_geothermal","Advanced geothermal","0.05","0.85","83333.3","100000","5000","672","33.6","","iea_geothermal_future_2024;nrel_atb_2024_electricity"
"advanced_3gj_full_splitting_balanced","3 GJ/tCO2 + full splitting balanced","utility_solar_pv","Utility solar PV","0.35","0.24","331707.7","364878.5","127707.5","60744","3037.2","1808850","nrel_atb_2024_electricity;nrel_solar_land_use_2013"
"advanced_3gj_full_splitting_balanced","3 GJ/tCO2 + full splitting balanced","land_based_wind","Land-based wind","0.35","0.42","331707.7","364878.5","127707.5","34711","1735.5","","nrel_atb_2024_electricity;nrel_atb_land_wind_2024"
"advanced_3gj_full_splitting_balanced","3 GJ/tCO2 + full splitting balanced","nuclear_fission","Nuclear fission","0.2","0.93","331707.7","364878.5","72975.7","8958","447.9","","nrel_atb_nuclear_2024;iaea_nuclear_status_2025"
"advanced_3gj_full_splitting_balanced","3 GJ/tCO2 + full splitting balanced","advanced_geothermal","Advanced geothermal","0.1","0.85","331707.7","364878.5","36487.9","4900","245","","iea_geothermal_future_2024;nrel_atb_2024_electricity"
