"scenario","display_name","metric","threshold_gtco2_y","comparator","first_year","value_at_2046","value_at_2060"
"linear_reference_2046","Linear 2046 reference","gross_removal","10","greater_or_equal","","66.6524773270612","100"
"linear_reference_2046","Linear 2046 reference","gross_removal","50","greater_or_equal","","66.6524773270612","100"
"linear_reference_2046","Linear 2046 reference","gross_removal","100","greater_or_equal","","66.6524773270612","100"
"linear_reference_2046","Linear 2046 reference","durable_credit","100","greater_or_equal","","56.5879532506749","84.9"
"linear_reference_2046","Linear 2046 reference","net_after_emissions_rebound","0","greater_than","","31.5900816516158","67.9"
"s_curve_industrialization","S-curve industrialization","gross_removal","10","greater_or_equal","","99.7145542130944","100"
"s_curve_industrialization","S-curve industrialization","gross_removal","50","greater_or_equal","","99.7145542130944","100"
"s_curve_industrialization","S-curve industrialization","gross_removal","100","greater_or_equal","","99.7145542130944","100"
"s_curve_industrialization","S-curve industrialization","durable_credit","100","greater_or_equal","","85.7545166232612","86"
"s_curve_industrialization","S-curve industrialization","net_after_emissions_rebound","0","greater_than","","61.7887701176898","73"
"abundance_acceleration_2040","Abundance acceleration 2040","gross_removal","10","greater_or_equal","","100","100"
"abundance_acceleration_2040","Abundance acceleration 2040","gross_removal","50","greater_or_equal","","100","100"
"abundance_acceleration_2040","Abundance acceleration 2040","gross_removal","100","greater_or_equal","","100","100"
"abundance_acceleration_2040","Abundance acceleration 2040","durable_credit","100","greater_or_equal","","90","90"
"abundance_acceleration_2040","Abundance acceleration 2040","net_after_emissions_rebound","0","greater_than","","78","85"
"energy_delayed","Energy-delayed buildout","gross_removal","10","greater_or_equal","","18.2791138408013","77.4045596380717"
"energy_delayed","Energy-delayed buildout","gross_removal","50","greater_or_equal","","18.2791138408013","77.4045596380717"
"energy_delayed","Energy-delayed buildout","gross_removal","100","greater_or_equal","","18.2791138408013","77.4045596380717"
"energy_delayed","Energy-delayed buildout","durable_credit","100","greater_or_equal","","15.5189676508403","65.7164711327228"
"energy_delayed","Energy-delayed buildout","net_after_emissions_rebound","0","greater_than","","-5.22289942527987","51.1057871870121"
"rebound_failure","Rebound failure","gross_removal","10","greater_or_equal","","99.7145542130944","100"
"rebound_failure","Rebound failure","gross_removal","50","greater_or_equal","","99.7145542130944","100"
"rebound_failure","Rebound failure","gross_removal","100","greater_or_equal","","99.7145542130944","100"
"rebound_failure","Rebound failure","durable_credit","100","greater_or_equal","","85.7545166232612","86"
"rebound_failure","Rebound failure","net_after_emissions_rebound","0","greater_than","","-2.07992482033358","10"
