plant_size_mtco2_y,plant_count_for_100gt_y,capex_scaling_exponent_alpha,relative_unit_capex_vs_1mt_plant,unit_capex_reduction_percent_vs_1mt
1,100000.0,0.65,1.0,0.0
1,100000.0,0.75,1.0,0.0
1,100000.0,0.85,1.0,0.0
1,100000.0,0.95,1.0,0.0
5,20000.0,0.65,0.569325319425153,43.0674680574847
5,20000.0,0.75,0.668740304976422,33.1259695023578
5,20000.0,0.85,0.7855150302317643,21.448496976823574
5,20000.0,0.95,0.9226808345905883,7.7319165409411745
10,10000.0,0.65,0.44668359215096315,55.33164078490369
10,10000.0,0.75,0.5623413251903491,43.76586748096509
10,10000.0,0.85,0.7079457843841379,29.20542156158621
10,10000.0,0.95,0.8912509381337455,10.874906186625456
25,4000.0,0.65,0.3241313193385525,67.58686806614476
25,4000.0,0.75,0.4472135954999579,55.27864045000421
25,4000.0,0.85,0.6170338627200096,38.29661372799904
25,4000.0,0.95,0.8513399225207845,14.86600774792155
100,1000.0,0.65,0.19952623149688797,80.0473768503112
100,1000.0,0.75,0.31622776601683794,68.3772233983162
100,1000.0,0.85,0.5011872336272722,49.88127663727278
100,1000.0,0.95,0.7943282347242814,20.567176527571863
