learning_rate_per_capacity_doubling,initial_engineered_cdr_capacity_gt_y,target_capacity_gt_y,capacity_doublings_to_target,initial_cost_usd_t,raw_learned_cost_usd_t,capture_energy_gj_t,power_price_usd_mwh,energy_plus_storage_mrv_floor_usd_t,bounded_cost_usd_t,annual_cost_at_100gt_trillion_usd
0.1,0.00204,100.0,15.581071322240042,500.0,96.83208436430876,3.0,10,20.333333333333336,96.83208436430876,9.683208436430874
0.1,0.00204,100.0,15.581071322240042,500.0,96.83208436430876,3.0,20,28.666666666666668,96.83208436430876,9.683208436430874
0.1,0.00204,100.0,15.581071322240042,500.0,96.83208436430876,3.0,30,37.0,96.83208436430876,9.683208436430874
0.15,0.00204,100.0,15.581071322240042,500.0,39.74122518637874,3.0,10,20.333333333333336,39.74122518637874,3.974122518637874
0.15,0.00204,100.0,15.581071322240042,500.0,39.74122518637874,3.0,20,28.666666666666668,39.74122518637874,3.974122518637874
0.15,0.00204,100.0,15.581071322240042,500.0,39.74122518637874,3.0,30,37.0,39.74122518637874,3.974122518637874
0.2,0.00204,100.0,15.581071322240042,500.0,15.45283544259005,3.0,10,20.333333333333336,20.333333333333336,2.0333333333333337
0.2,0.00204,100.0,15.581071322240042,500.0,15.45283544259005,3.0,20,28.666666666666668,28.666666666666668,2.866666666666667
0.2,0.00204,100.0,15.581071322240042,500.0,15.45283544259005,3.0,30,37.0,37.0,3.7
0.25,0.00204,100.0,15.581071322240042,500.0,5.653151681793386,3.0,10,20.333333333333336,20.333333333333336,2.0333333333333337
0.25,0.00204,100.0,15.581071322240042,500.0,5.653151681793386,3.0,20,28.666666666666668,28.666666666666668,2.866666666666667
0.25,0.00204,100.0,15.581071322240042,500.0,5.653151681793386,3.0,30,37.0,37.0,3.7
0.3,0.00204,100.0,15.581071322240042,500.0,1.9294410663703088,3.0,10,20.333333333333336,20.333333333333336,2.0333333333333337
0.3,0.00204,100.0,15.581071322240042,500.0,1.9294410663703088,3.0,20,28.666666666666668,28.666666666666668,2.866666666666667
0.3,0.00204,100.0,15.581071322240042,500.0,1.9294410663703088,3.0,30,37.0,37.0,3.7
0.35,0.00204,100.0,15.581071322240042,500.0,0.6080785315539216,3.0,10,20.333333333333336,20.333333333333336,2.0333333333333337
0.35,0.00204,100.0,15.581071322240042,500.0,0.6080785315539216,3.0,20,28.666666666666668,28.666666666666668,2.866666666666667
0.35,0.00204,100.0,15.581071322240042,500.0,0.6080785315539216,3.0,30,37.0,37.0,3.7
0.4,0.00204,100.0,15.581071322240042,500.0,0.17471444534150848,3.0,10,20.333333333333336,20.333333333333336,2.0333333333333337
0.4,0.00204,100.0,15.581071322240042,500.0,0.17471444534150848,3.0,20,28.666666666666668,28.666666666666668,2.866666666666667
0.4,0.00204,100.0,15.581071322240042,500.0,0.17471444534150848,3.0,30,37.0,37.0,3.7
