"summary_type","bucket","parameter_count"
"source_status","company_announcement","3"
"source_status","company_claim","3"
"source_status","company_product_page","2"
"source_status","derived_from_verified_source","4"
"source_status","derived_model_value","1"
"source_status","generated_model_output","8"
"source_status","provisional_lead","2"
"source_status","scenario_assumption","15"
"source_status","scenario_from_verified_source","7"
"source_status","verified_source","36"
"evidence_grade","A","36"
"evidence_grade","B","18"
"evidence_grade","C","22"
"evidence_grade","D","5"
"model_area","air_contactor_scale","12"
"model_area","atmosphere","1"
"model_area","capture_energy","3"
"model_area","cdr_baseline","1"
"model_area","clean_energy","2"
"model_area","clean_energy_cost","2"
"model_area","clean_energy_markets","2"
"model_area","conversion","7"
"model_area","cost_stack","3"
"model_area","emissions","2"
"model_area","learning","1"
"model_area","pathway_portfolio","2"
"model_area","power_system","10"
"model_area","power_system_additionality","5"
"model_area","rebound","2"
"model_area","robotics","2"
"model_area","robotics_cost","3"
"model_area","robotics_leads","2"
"model_area","robotics_runtime","1"
"model_area","robotics_scale","5"
"model_area","scenario_target","1"
"model_area","storage","3"
"model_area","storage_lifecycle","2"
"model_area","technology_acceleration","7"
