case,region,hour,load_gwh,effective_generation_gwh,served_gwh,unserved_gwh,curtailed_gwh,storage_charge_input_gwh,storage_discharge_delivered_gwh,storage_conversion_loss_gwh,storage_state_start_gwh,storage_state_end_gwh
market_regional_reference,texas_gulf_storage_corridor,0,659.247,151.383,151.383,507.864,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,1,659.247,146.985,146.985,512.261,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,2,659.247,141.903,141.903,517.343,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,3,659.247,137.003,137.003,522.244,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,4,659.247,132.807,132.807,526.44,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,5,659.247,129.412,129.412,529.835,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,6,659.247,126.53,126.53,532.717,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,7,659.247,151.565,151.565,507.682,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,8,659.247,197.721,197.721,461.525,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,9,659.247,248.62,248.62,410.626,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,10,659.247,292.663,292.663,366.583,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,11,659.247,321.047,321.047,338.199,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,12,659.247,328.518,328.518,330.729,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,13,659.247,313.946,313.946,345.3,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,14,659.247,280.364,280.364,378.882,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,15,659.247,234.419,234.419,424.828,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,16,659.247,185.422,185.422,473.824,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,17,659.247,144.464,144.464,514.783,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,18,659.247,126.53,126.53,532.717,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,19,659.247,136.513,136.513,522.734,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,20,659.247,145.106,145.106,514.141,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,21,659.247,151.204,151.204,508.042,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,22,659.247,154.202,154.202,505.044,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,texas_gulf_storage_corridor,23,659.247,154.086,154.086,505.16,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,0,476.123,68.462,68.462,407.661,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,1,476.123,68.175,68.175,407.948,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,2,476.123,67.315,67.315,408.808,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,3,476.123,66.143,66.143,409.98,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,4,476.123,64.943,64.943,411.18,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,5,476.123,63.944,63.944,412.179,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,6,476.123,63.269,63.269,412.853,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,7,476.123,76.325,76.325,399.798,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,8,476.123,133.805,133.805,342.317,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,9,476.123,208.501,208.501,267.622,0.0,0.0,0.0,0.0,0.0,0.0
market_regional_reference,california_west_desert,10,476.123,282.21,282.21,193.913,0.0,0.0,0.0,0.0,0.0,0.0
